country,value
China,1.41965E+12
United States,1.42431E+12
Japan,1.43998E+12
"Korea, Rep.",1.45276E+12
Germany,1.45475E+12
France,1.47229E+12
Italy,1.47339E+12
United Kingdom,1.47415E+12
Australia,1.47431E+12
Brazil,1.47446E+12
India,1.47469E+12
Indonesia,1.47533E+12
Canada,1.47571E+12
Poland,1.47656E+12
Mexico,1.47679E+12
Netherlands,1.47812E+12
Spain,1.47818E+12
Czech Republic,1.47855E+12
Belgium,1.47858E+12
Argentina,1.47869E+12
Norway,1.47917E+12
Sweden,1.47919E+12
Hungary,1.47949E+12
Austria,1.47958E+12
Switzerland,1.47964E+12
Denmark,1.47965E+12
Turkey,1.47968E+12
Chile,1.47993E+12
Ireland,1.47999E+12
South Africa,1.48E+12
Finland,1.48019E+12
Slovak Republic,1.48035E+12
Israel,1.48051E+12
New Zealand,1.48051E+12
Portugal,1.48078E+12
Lithuania,1.4808E+12
Greece,1.48082E+12
Slovenia,1.48087E+12
Bulgaria,1.48089E+12
Estonia,1.48101E+12
Latvia,1.48103E+12
